RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-006126,2012/01/21 00:00:00+00,2326,"S 9,J to K",NON-INJ,DRIVEWAY,1,0,NO,NO,NO,NO,NO,NO,NO,704
B2-007111,2012/01/25 00:00:00+00,1328,S 70 at OLD CHENEY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,705
B2-006498,2012/01/23 00:00:00+00,1130,I 180 at SUPERIOR,NON-INJ,RAN OFF ROAD,1,40,NO,NO,NO,NO,NO,YES,NO,706
B2-009901,2012/02/03 00:00:00+00,1230,6100 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,707
B2-006209,2012/01/22 00:00:00+00,645,"CURTIS,S 42 to SHERIDAN",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,708
B2-007172,2012/01/25 00:00:00+00,1642,"J,S 8 to S 9",INJURY,BACKING,2,1,NO,NO,NO,NO,NO,NO,NO,709
B2-009921,2012/02/03 00:00:00+00,1320,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,710
B2-006504,2012/01/23 00:00:00+00,1155,"N 40,DUDLEY to STARR",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,711
B2-007179,2012/01/25 00:00:00+00,1702,33 at O,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,712
B2-006506,2012/01/23 00:00:00+00,1205,"S 56,CUMBERLAND to LONDON",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,713
B2-009933,2012/02/03 00:00:00+00,1358,"PINE LAKE,S 28 to S 29",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,714
B2-006213,2012/01/22 00:00:00+00,832,RANDOLPH at CAPITOL PKWY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,715
B2-007204,2012/01/25 00:00:00+00,1855,"VINE,N 29 to N 30",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,716
B2-006510,2012/01/22 00:00:00+00,1235,"D,S 13 to S 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,717
B2-006242,2012/01/22 00:00:00+00,1030,"S 27,SOUTHRIDGE to PINE LAKE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,718
B2-009943,2012/02/03 00:00:00+00,1455,"OLD CHENEY,S 41 to S 40",INJURY,RIGHT ANGLE,0,2,NO,NO,NO,NO,NO,NO,NO,719
B2-007214,2012/01/25 00:00:00+00,1926,"SKYLINE,EVERETT to GARFIELD",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,720
B2-006524,2012/01/23 00:00:00+00,730,"QUEENS,PRINCE to PRINCESS MARGARE",NON-INJ H&R,DRIVEWAY,1,0,NO,NO,NO,NO,NO,NO,NO,721
B2-006249,2012/01/22 00:00:00+00,1100,330 S 10 at GREEN GATEAU LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,722
B2-009944,2012/02/03 00:00:00+00,1457,"P,N 56 to N COTNER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,723
B2-007239,2012/01/25 00:00:00+00,2157,"GARFIELD,S 16 to S 17",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,724
B2-006527,2012/01/23 00:00:00+00,1330,7001 A at,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,725
B2-006250,2012/01/22 00:00:00+00,1244,"S 9,PLUM to SOUTH",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,726
B2-009949,2012/02/03 00:00:00+00,1505,CORNHUSKER at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,727
B2-007261,2012/01/26 00:00:00+00,140,"P,N 13 to N 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,728
B2-006255,2012/01/22 00:00:00+00,900,"RANDOLPH,S 27 to S 28",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,729
B2-006548,2012/01/23 00:00:00+00,1440,"SUPERIOR,BEL RIDGE to N 19",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,730
B2-009957,2012/02/03 00:00:00+00,1523,"N 27,O to P",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,731
B2-007285,2012/01/26 00:00:00+00,9999,"KNOX,N 19 to N 20",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,732
B2-006258,2012/01/22 00:00:00+00,9999,"N 26,FAIR to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,733
B2-009962,2012/02/03 00:00:00+00,1530,W SOUTH at FOLSOM BYPASS,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,734
B2-006555,2012/01/23 00:00:00+00,1512,"HAVELOCK,N 61 to N 62",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,735
B2-006261,2012/01/22 00:00:00+00,1330,56 at O,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,736
B2-007299,2012/01/26 00:00:00+00,744,"N,CENTENNIAL MALL to S 14",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,737
B2-009973,2012/02/03 00:00:00+00,1530,2525 PINE LAKE at SUPER SAVER,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,738
B2-006562,2012/01/23 00:00:00+00,1517,"K,S 13 to S 14",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,739
B2-006268,2012/01/22 00:00:00+00,1355,33 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,740
B2-007303,2012/01/26 00:00:00+00,818,"STOCKWELL,S 20 to WOODS BLVD",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,741
B2-006567,2012/01/23 00:00:00+00,1550,"CORNHUSKER,I 180 to N 11",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,742
B2-009989,2012/02/03 00:00:00+00,1637,"SW 16,W A to W WASHINGTON",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,743
B2-007307,2012/01/26 00:00:00+00,9999,"F,S 8 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,744
B2-009993,2012/02/03 00:00:00+00,1655,"HOLDREGE,N 65 to N COTNER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,745
B2-006277,2012/01/22 00:00:00+00,1415,"A,BROADMOORE to KINGSTON",NON-INJ H&R,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,746
B2-006570,2012/01/23 00:00:00+00,1559,N 70 at STARR,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,747
B2-006297,2012/01/22 00:00:00+00,1615,"S 70,SHAMROCK to VAN DORN",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,748
B2-009994,2012/02/03 00:00:00+00,1657,"O,10 to 11",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,749
B2-007327,2012/01/26 00:00:00+00,1024,S 10 at L,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,750
B2-006572,2012/01/23 00:00:00+00,1605,"SUPERIOR,BEL RIDGE to N 14",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,751
B2-006305,2012/01/22 00:00:00+00,1635,9 at O,NON-INJ,TURNING,0,0,NO,NO,NO,NO,NO,YES,NO,752
B2-009996,2012/02/03 00:00:00+00,1704,"S 48,ANTELOPE CREEK to NORMAL",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,753
B2-007346,2012/01/26 00:00:00+00,1106,S 16 at D,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,754
B2-006574,2012/01/23 00:00:00+00,1607,"S 48,S COTNER to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,755
B2-006322,2012/01/22 00:00:00+00,1735,N 27 at KENSINGTON,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,756
B2-009999,2012/02/03 00:00:00+00,1710,"O,16 to CENTENNIAL MALL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,757
B2-007358,2012/01/26 00:00:00+00,1150,"M,CENTENNIAL MALL to S 14",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,758
B2-006591,2012/01/23 00:00:00+00,1656,"OLD CHENEY,S 52 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,759
B2-006335,2012/01/22 00:00:00+00,1835,S 13 at VAN DORN,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,760
B2-010001,2012/02/03 00:00:00+00,1720,S 27 at WOODS BLVD,INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,761
B2-006597,2012/01/23 00:00:00+00,1727,"N 41,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,762
B2-007360,,9999,"S COTNER,FRANKLIN to SOUTH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,763
B2-006348,2012/01/21 00:00:00+00,1958,"N 27,APPLE to Y",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,764
B2-010011,2012/02/03 00:00:00+00,1800,"SUPERIOR,N 19 to N 20",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,765
B2-007363,2012/01/26 00:00:00+00,1202,S 70 at VAN DORN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,766
B2-006599,2012/01/23 00:00:00+00,1734,N 44 at BALDWIN,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,767
B2-006350,2012/01/22 00:00:00+00,1955,L at DALE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,768
B2-010012,2012/02/03 00:00:00+00,1800,"S 27,M to N",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,769
B2-007372,2012/01/26 00:00:00+00,1230,9 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,770
B2-006605,2012/01/23 00:00:00+00,1752,"N 11,CORNHUSKER to SAUNDERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,YES,771
B2-006354,2012/01/22 00:00:00+00,2007,S 40 at DUXHALL DR,NON-INJ,RIGHT ANGLE,0,0,NO,NO,NO,NO,NO,NO,NO,772
B2-010019,2012/02/03 00:00:00+00,1100,4701 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,773
B2-007378,2012/01/26 00:00:00+00,1250,"HOMESTEAD EXP,ROSA PARKS WAY to W O",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,774
B2-006619,2012/01/23 00:00:00+00,1835,"O,68 to 70",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,775
B2-006355,2012/01/22 00:00:00+00,2007,HOMESTEAD EXP at W VAN DORN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,776
B2-010033,2012/02/03 00:00:00+00,1855,"O,33 to 34",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,777
B2-007380,2012/01/26 00:00:00+00,103,"S 24,A to B",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,778
B2-006623,2012/01/23 00:00:00+00,1145,68 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,779
B2-006357,2012/01/22 00:00:00+00,2012,"I 80,NW 48 to HOMESTEAD EXP",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,YES,NO,780
B2-010039,2012/02/03 00:00:00+00,1922,"S 56,LOWELL to PRESCOTT",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,781
B2-007396,2012/01/26 00:00:00+00,1343,"RANDOLPH,CAPITOL PKWY to S 25",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,782
B2-006647,2012/01/23 00:00:00+00,2045,"S 21,B to C",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,783
B2-006363,2012/01/22 00:00:00+00,2030,"S 56,FRANKLIN to OLDHAM",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,784
B2-010041,2012/02/03 00:00:00+00,1925,"N 27,HOLDREGE to STARR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,785
B2-010045,2012/02/03 00:00:00+00,1930,555 S 70 at ST ELIZABETH,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,786
B2-007398,2012/01/26 00:00:00+00,1350,"HOLDREGE,NORTHWOODS DR to N 84",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,787
B2-006712,2012/01/24 00:00:00+00,730,S 13 at SOUTH,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,788
B2-007399,2012/01/26 00:00:00+00,1355,"S 14,M to N",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,789
B2-010049,2012/02/03 00:00:00+00,2004,S 27 at CAPITOL PKWY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,790
B2-006716,2012/01/24 00:00:00+00,740,N 33 at MERRILL,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,791
B2-010065,2012/02/03 00:00:00+00,2129,S 27 at WOODSDALE,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,792
B2-006717,2012/01/24 00:00:00+00,741,N 57 at LEIGHTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,793
B2-010066,2012/02/03 00:00:00+00,2138,"N 17,N ANTELOPE VALL to Y",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,794
B2-006719,2012/01/24 00:00:00+00,745,S 19 at SOUTH,INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,795
B2-010069,2012/02/03 00:00:00+00,2208,"N 48,O to R",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,796
B2-006728,2012/01/24 00:00:00+00,844,2940 N 14 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,797
B2-010083,2012/02/03 00:00:00+00,2238,"CORNHUSKER,N 17 to YOLANDE",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,798
B2-006732,2012/01/24 00:00:00+00,855,S 40 at SWEETBRIAR,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,799
B2-006737,2012/01/24 00:00:00+00,904,N 27 at Y,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,800
B2-011443,2012/02/07 00:00:00+00,2018,"ARBOR,N 27 to ALVO",FATAL,,1,2,NO,NO,NO,NO,NO,NO,NO,801
B2-012070,2012/02/09 00:00:00+00,1555,"VINE,N 25 to N 26",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,802
B2-014314,2012/02/17 00:00:00+00,1300,"SOUTH,S 16 to S 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,803
B2-011454,2012/02/07 00:00:00+00,2132,"ARBOR,N 14 to ALVO",FATAL,,2,0,NO,NO,NO,NO,NO,YES,NO,804
B2-012079,2012/02/09 00:00:00+00,1330,"ST PAUL,N 48 to N 49",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,805
B2-011490,2012/02/07 00:00:00+00,430,WOODSDALE at SHERIDAN,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,806
B2-014320,2012/02/17 00:00:00+00,1345,S 8 at PIONEERS,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,807
B2-012084,2012/02/09 00:00:00+00,1638,N 12 at R,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,808
B2-011501,2012/02/08 00:00:00+00,2,OLD CHENEY at S 98,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,809
B2-014339,2012/02/17 00:00:00+00,1453,"S 40,NORMAL to SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,810
B2-012090,2012/02/09 00:00:00+00,1654,"N 27,CORNHUSKER to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,811
B2-011547,2012/02/08 00:00:00+00,632,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,TURNING,1,0,NO,NO,NO,NO,NO,YES,NO,812
B2-014346,2012/02/17 00:00:00+00,1420,4700 N 27 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,813
B2-013765,2012/02/15 00:00:00+00,1545,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,814
B2-012097,2012/02/09 00:00:00+00,9999,"T,N 30 to N 31",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,815
B2-011549,2012/02/08 00:00:00+00,651,"NORMAL,S 56 to S 58",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,816
B2-013767,2012/02/15 00:00:00+00,1540,5135 VINE #904 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,817
B2-014348,2012/02/17 00:00:00+00,1530,S 37 at PAWNEE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,818
B2-012099,2012/02/09 00:00:00+00,1710,S 27 at J,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,819
B2-013770,2012/02/15 00:00:00+00,1601,"S 48,S COTNER to SUMNER",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,820
B2-011554,2012/02/08 00:00:00+00,745,"NORMAL,A to S 33",INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,821
B2-012100,2012/02/09 00:00:00+00,1718,N 27 at I 80,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,822
B2-014362,2012/02/17 00:00:00+00,1554,"SHERIDAN,CURTIS to S 40",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,823
B2-013771,2012/02/15 00:00:00+00,1605,"NEBR HWY,S 20 to SOUTHWOOD DR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,824
B2-011555,2012/02/08 00:00:00+00,755,"W A,SW 31 to TIMBER RIDGE",INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,825
B2-012105,2012/02/09 00:00:00+00,9999,1500 S 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,826
B2-014369,2012/02/17 00:00:00+00,1616,N 48 at DUDLEY,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,827
B2-013777,2012/02/15 00:00:00+00,1630,VAN DORN at NORMAL,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,828
B2-011558,2012/02/08 00:00:00+00,725,"W IRVING,NW 2 to W IRVING CR",NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,NO,YES,829
B2-012107,2012/02/09 00:00:00+00,1750,S FOLSOM at W A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,830
B2-014372,2012/02/17 00:00:00+00,1618,"OLD CHENEY,S 52 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,831
B2-013790,2012/02/15 00:00:00+00,1705,"A,S 45 to SUNBURST",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,832
B2-011561,2012/02/08 00:00:00+00,9999,"GARLAND,N 68 to N 69",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,833
B2-012122,2012/02/09 00:00:00+00,1825,"DUDLEY,N 29 to N 30",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,834
B2-014384,2012/02/17 00:00:00+00,1711,"GLADSTONE,N 66 to N 67",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,835
B2-013792,2012/02/15 00:00:00+00,1712,"NORMAL,S 46 to S 47",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,836
B2-011564,2012/02/08 00:00:00+00,844,"SUPERIOR,BEL RIDGE to N 19",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,837
B2-012135,2012/02/09 00:00:00+00,1902,"NEBR HWY,APPLES WAY to S 66",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,838
B2-014387,2012/02/12 00:00:00+00,9999,5100 O ST at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,839
B2-013797,2012/02/15 00:00:00+00,1200,"E,S 24 to S 25",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,840
B2-011572,2012/02/08 00:00:00+00,845,"N 23,S to T",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,841
B2-012161,2012/02/09 00:00:00+00,2118,"Q,N 12 to N 13",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,842
B2-014388,2012/02/17 00:00:00+00,1715,"N 27,CORNHUSKER to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,843
B2-013804,2012/02/15 00:00:00+00,1753,"S 10,ARAPAHOE to CALVERT",NON-INJ,DRIVEWAY,3,0,NO,NO,NO,NO,NO,YES,NO,844
B2-011580,2012/02/08 00:00:00+00,9999,"N 29,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,845
B2-012168,2012/02/09 00:00:00+00,2149,"VAN DORN,S 48 to S 51",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,846
B2-014395,2012/02/17 00:00:00+00,1752,"N 17,N ANTELOPE VALL to Y",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,847
B2-013815,2012/02/15 00:00:00+00,1810,UNKNOWN at -,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,848
B2-011582,2012/02/08 00:00:00+00,930,2662 CORNHUSKER at -,INJURY,,2,1,NO,NO,NO,NO,NO,NO,NO,849
B2-012171,2012/02/09 00:00:00+00,9999,"N 26,R to S",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,850
B2-014400,2012/02/17 00:00:00+00,1810,"OLD CHENEY,S 48 to S 49",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,851
B2-013835,2012/02/15 00:00:00+00,1920,48 at O,NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,852
B2-011587,2012/02/07 00:00:00+00,1320,2650 N 48 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,853
B2-012240,2012/02/10 00:00:00+00,750,S 9 at M,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,854
B2-014433,2012/02/17 00:00:00+00,1945,S 27 at WOODSDALE,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,855
B2-013845,2012/02/15 00:00:00+00,2042,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,856
B2-011615,2012/02/08 00:00:00+00,1055,SW 6 at W A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,857
B2-014437,2012/02/17 00:00:00+00,2000,"W LEON,NW 10 to NW 9",NON-INJ H&R,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,858
B2-012251,2012/02/10 00:00:00+00,851,"VINE,N 33 to N 34",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,859
B2-013858,2012/02/15 00:00:00+00,2128,"S 70,YANKEE HILL to YANKEE WOODS DR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,860
B2-011617,2012/02/08 00:00:00+00,9999,8800 O at SECC,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,861
B2-012258,2012/02/10 00:00:00+00,902,"S 25,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,862
B2-014456,2012/02/17 00:00:00+00,2130,233 N 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,863
B2-013859,2012/02/15 00:00:00+00,2131,S 35 at D,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,864
B2-011663,2012/02/08 00:00:00+00,1324,N 48 at CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,865
B2-014469,2012/02/16 00:00:00+00,1515,"S FOLSOM,ROSA PARKS WAY to W E",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,866
B2-012271,2012/02/10 00:00:00+00,930,1709 WASHINGTON at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,867
B2-013869,2012/02/15 00:00:00+00,2205,N 27 at CORNHUSKER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,868
B2-011667,2012/02/08 00:00:00+00,1328,S 40 at OLD CHENEY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,869
B2-012278,2012/02/10 00:00:00+00,430,915 GASLIGHT at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,870
B2-014474,2012/02/17 00:00:00+00,2235,"S 84,HORSESHOE to PINE LAKE",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,871
B2-011673,2012/02/08 00:00:00+00,1347,"SOUTH,S 16 to S 17",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,872
B2-013883,2012/02/15 00:00:00+00,2340,"INDUSTRIAL,DAN to SUPERIOR",NON-INJ,DRIVEWAY,1,0,NO,NO,NO,NO,NO,NO,NO,873
B2-014520,2012/02/18 00:00:00+00,100,"N 20,O to P",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,874
B2-012281,2012/02/09 00:00:00+00,9999,"U,N 22 to N 23",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,875
B2-013920,2012/02/16 00:00:00+00,658,"CORNHUSKER,N 48 to SUPERIOR",INJURY,OTHER,1,1,NO,NO,NO,NO,NO,NO,NO,876
B2-011677,2012/02/08 00:00:00+00,1415,"MILITARY,N 10 to BESSIE",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,877
B2-014524,2012/02/18 00:00:00+00,145,130 N 66 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,878
B2-012284,2012/02/09 00:00:00+00,9999,3200 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,879
B2-010495,2012/02/04 00:00:00+00,2130,"S 48,MEREDETH to PIONEERS",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,880
